jugador,posicion,arquetipo,semestre,edad,categoria,minutos,sprint_30m_s,salto_cm,yoyo_m,pase_pct,duelos_pct,nota,trimestre_nac
Jugador 01,Delantero,tardio,2024-I,14.5,Sub-15,951,4.47,45.4,1830,71.5,47.3,"Líder del grupo, rendimiento estable.",3
Jugador 01,Delantero,tardio,2024-II,15.0,Sub-15,651,4.42,44.5,1871,69.7,46.2,Listo para minutos en categoría superior.,3
Jugador 01,Delantero,tardio,2025-I,15.5,Sub-17,972,4.43,47.3,1877,71.6,46.8,"Líder del grupo, rendimiento estable.",3
Jugador 01,Delantero,tardio,2025-II,16.0,Sub-17,974,4.35,48.1,1993,71.7,48.8,"Dificultades con la carga, revisar con fisioterapia.",3
Jugador 01,Delantero,tardio,2026-I,16.5,Sub-17,977,4.43,49.1,2083,73.2,47.6,"Irregular en entrenos, talento por encima del promedio.",3
Jugador 01,Delantero,tardio,2026-II,17.0,Sub-17,793,4.38,52.2,2081,74.4,48.0,"Líder del grupo, rendimiento estable.",3
Jugador 02,Delantero,estable,2024-I,13.8,Sub-15,1164,4.66,44.3,1718,73.8,52.2,"Irregular en entrenos, talento por encima del promedio.",2
Jugador 02,Delantero,estable,2024-II,14.3,Sub-15,882,4.71,46.1,1729,72.9,55.1,Salto físico notable este semestre.,2
Jugador 02,Delantero,estable,2025-I,14.8,Sub-15,571,4.64,45.8,1878,74.8,53.8,Listo para minutos en categoría superior.,2
Jugador 02,Delantero,estable,2025-II,15.3,Sub-15,896,4.71,46.4,1862,74.5,54.2,"Líder del grupo, rendimiento estable.",2
Jugador 02,Delantero,estable,2026-I,15.8,Sub-17,918,4.59,47.7,1902,75.7,55.5,Listo para minutos en categoría superior.,2
Jugador 02,Delantero,estable,2026-II,16.3,Sub-17,1086,4.61,49.7,1966,75.1,52.7,Listo para minutos en categoría superior.,2
Jugador 03,Extremo,progresa,2024-I,16.5,Sub-17,916,4.62,56.0,1461,71.5,49.7,"Buena actitud, mejorar toma de decisiones en último tercio.",4
Jugador 03,Extremo,progresa,2024-II,17.0,Sub-17,885,4.6,56.7,1520,70.8,53.4,Listo para minutos en categoría superior.,4
Jugador 03,Extremo,progresa,2025-I,17.5,Sub-17,988,4.56,59.1,1505,71.3,53.2,"Buena actitud, mejorar toma de decisiones en último tercio.",4
Jugador 03,Extremo,progresa,2025-II,18.0,Sub-20,660,4.59,59.0,1691,72.6,54.6,"Buena actitud, mejorar toma de decisiones en último tercio.",4
Jugador 03,Extremo,progresa,2026-I,18.5,Sub-20,839,4.59,63.7,1735,74.2,53.9,Salto físico notable este semestre.,4
Jugador 03,Extremo,progresa,2026-II,19.0,Sub-20,1012,4.56,63.3,1811,74.4,53.9,"Buena actitud, mejorar toma de decisiones en último tercio.",4
Jugador 04,Arquero,estable,2024-I,17.8,Sub-20,847,4.44,42.6,1554,73.2,46.2,"Líder del grupo, rendimiento estable.",2
Jugador 04,Arquero,estable,2024-II,18.3,Sub-20,775,4.54,42.8,1525,73.4,45.2,"Buena actitud, mejorar toma de decisiones en último tercio.",2
Jugador 04,Arquero,estable,2025-I,18.8,Sub-20,1057,4.47,45.3,1549,74.9,47.2,"Buena actitud, mejorar toma de decisiones en último tercio.",2
Jugador 04,Arquero,estable,2025-II,19.3,Sub-20,737,4.41,47.5,1605,74.8,48.1,"Dificultades con la carga, revisar con fisioterapia.",2
Jugador 04,Arquero,estable,2026-I,19.8,Sub-20,869,4.43,47.7,1659,74.5,48.3,"Dificultades con la carga, revisar con fisioterapia.",2
Jugador 04,Arquero,estable,2026-II,20.3,Sub-20,1083,4.45,47.4,1662,75.9,49.8,Salto físico notable este semestre.,2
Jugador 05,Arquero,progresa,2024-I,15.9,Sub-17,1130,4.61,54.1,1304,76.3,54.2,"Buena actitud, mejorar toma de decisiones en último tercio.",4
Jugador 05,Arquero,progresa,2024-II,16.4,Sub-17,863,4.51,54.9,1360,76.7,54.1,Salto físico notable este semestre.,4
